COW/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.65, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:51:41.281647+00:00", "2026-09-15T20:51:41.281647+00:00"]
EDGE/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:35:50.955883+00:00", "2026-09-15T20:35:50.955883+00:00"]
EDGE/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:35:50.955883+00:00", "2026-09-15T20:35:50.955883+00:00"]
EPIC/USDT|mean_reversion_v1|{"rsi_oversold": 40.0, "min_confidence": 0.65, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:37:23.852142+00:00", "2026-09-15T20:37:23.852142+00:00"]
EPIC/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.45, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:37:23.852142+00:00", "2026-09-15T20:37:23.852142+00:00"]
EPIC/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:37:23.852142+00:00", "2026-09-15T20:37:23.852142+00:00"]
EUL/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:38:55.091266+00:00", "2026-09-15T20:38:55.091266+00:00"]
FLOCK/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:41:17.826017+00:00", "2026-09-15T20:41:17.826017+00:00"]
GWEI/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.65, "volume_ratio_min": 0.8}|["2026-05-20T20:44:33.273931+00:00", "2026-09-15T20:44:33.273931+00:00"]
H/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:45:20.587662+00:00", "2026-09-15T20:45:20.587662+00:00"]
HEI/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:46:07.467057+00:00", "2026-09-15T20:46:07.467057+00:00"]
HOME/USDT|mean_reversion_v1|{"rsi_oversold": 40.0, "min_confidence": 0.65, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:47:38.042072+00:00", "2026-09-15T20:47:38.042072+00:00"]
HPE/USDT|mean_reversion_v1|{"rsi_oversold": 35.0, "min_confidence": 0.55, "rsi_overbought": 65.0, "bb_position_long": 0.15, "bb_position_short": 0.85}|["2026-05-20T20:48:22.563505+00:00", "2026-09-15T20:48:22.563505+00:00"]
IOTA/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:49:52.065034+00:00", "2026-09-15T20:49:52.065034+00:00"]
IOTA/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:49:52.065034+00:00", "2026-09-15T20:49:52.065034+00:00"]
KAVA/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.45, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:31:04.855959+00:00", "2026-09-15T20:31:04.855959+00:00"]
KITE/USDT|momentum_v1|{"returns_5_min": 0.005, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:31:47.286677+00:00", "2026-09-15T20:31:47.286677+00:00"]
LAB/USDT|momentum_v1|{"returns_5_min": 0.01, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:32:29.442805+00:00", "2026-09-15T20:32:29.442805+00:00"]
LAB/USDT|trend_following_v1|{"adx_min": 30.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:32:29.442805+00:00", "2026-09-15T20:32:29.442805+00:00"]
MINA/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.65, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:34:06.220906+00:00", "2026-09-15T20:34:06.220906+00:00"]
MINA/USDT|trend_following_v1|{"adx_min": 20.0, "rsi_min_long": 50.0, "rsi_max_short": 50.0, "min_confidence": 0.45, "volume_ratio_min": 0.8}|["2026-05-20T20:34:06.220906+00:00", "2026-09-15T20:34:06.220906+00:00"]
MOVE/USDT|momentum_v1|{"returns_5_min": 0.02, "min_confidence": 0.45, "rsi_momentum_low": 55.0, "volume_ratio_min": 1.1, "rsi_momentum_high": 80.0}|["2026-05-20T20:35:34.348073+00:00", "2026-09-15T20:35:34.348073+00:00"]
